# Assembly name:  Bos_taurus_UMD_3.1.1
# Organism name:  Bos taurus (cattle)
# Infraspecific name:  breed=Hereford
# Sex:  pooled male and female
# Taxid:          9913
# BioSample:      SAMN02898106
# BioProject:     PRJNA32899
# Submitter:      Center for Bioinformatics and Computational Biology, University of Maryland
# Date:           2014-11-25
# Assembly type:  haploid
# Release type:   
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    DAAA02
# Assembly method: UMD Overlapper v. 2009; additional processing
# Genome coverage: 9x
# Sequencing technology: Sanger
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000003055.5
# RefSeq assembly accession: GCF_000003055.6
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001245.5	GCF_000001245.5	Primary Assembly
## 	GCF_000001285.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ChrU_1314950	unplaced-scaffold	na	na	GJ058062.1	=	NW_003098807.1	Primary Assembly	1100	na
ChrU_1316150	unplaced-scaffold	na	na	GJ058063.1	=	NW_003098808.1	Primary Assembly	1295	na
ChrU_1317545	unplaced-scaffold	na	na	GJ058064.1	=	NW_003098809.1	Primary Assembly	1063	na
ChrU_1318708	unplaced-scaffold	na	na	GJ058065.1	=	NW_003098810.1	Primary Assembly	1073	na
ChrU_1319881	unplaced-scaffold	na	na	GJ058066.1	=	NW_003098811.1	Primary Assembly	1043	na
ChrU_1321024	unplaced-scaffold	na	na	GJ058067.1	=	NW_003098812.1	Primary Assembly	1030	na
ChrU_1322154	unplaced-scaffold	na	na	GJ058068.1	=	NW_003098813.1	Primary Assembly	1056	na
ChrU_1323310	unplaced-scaffold	na	na	GJ058069.1	=	NW_003098814.1	Primary Assembly	1019	na
ChrU_1324429	unplaced-scaffold	na	na	GJ058070.1	=	NW_003098815.1	Primary Assembly	1080	na
ChrU_1325609	unplaced-scaffold	na	na	GJ058071.1	=	NW_003098816.1	Primary Assembly	1077	na
ChrU_1326786	unplaced-scaffold	na	na	GJ058072.1	=	NW_003098817.1	Primary Assembly	1282	na
ChrU_1328168	unplaced-scaffold	na	na	GJ058073.1	=	NW_003098818.1	Primary Assembly	1157	na
ChrU_1329425	unplaced-scaffold	na	na	GJ058074.1	=	NW_003098819.1	Primary Assembly	1056	na
ChrU_1330581	unplaced-scaffold	na	na	GJ058075.1	=	NW_003098820.1	Primary Assembly	1054	na
ChrU_1331735	unplaced-scaffold	na	na	GJ058076.1	=	NW_003098821.1	Primary Assembly	1063	na
ChrU_1332898	unplaced-scaffold	na	na	GJ058077.1	=	NW_003098822.1	Primary Assembly	1135	na
ChrU_1334133	unplaced-scaffold	na	na	GJ058078.1	=	NW_003098823.1	Primary Assembly	1013	na
ChrU_1335246	unplaced-scaffold	na	na	GJ058079.1	=	NW_003098824.1	Primary Assembly	1041	na
ChrU_1336387	unplaced-scaffold	na	na	GJ058080.1	=	NW_003098825.1	Primary Assembly	1067	na
ChrU_1337554	unplaced-scaffold	na	na	GJ058081.1	=	NW_003098826.1	Primary Assembly	1114	na
ChrU_1338768	unplaced-scaffold	na	na	GJ058082.1	=	NW_003098827.1	Primary Assembly	1034	na
ChrU_1339902	unplaced-scaffold	na	na	GJ058083.1	=	NW_003098828.1	Primary Assembly	1094	na
ChrU_1341096	unplaced-scaffold	na	na	GJ058084.1	=	NW_003098829.1	Primary Assembly	1072	na
ChrU_1342268	unplaced-scaffold	na	na	GJ058085.1	=	NW_003098830.1	Primary Assembly	1113	na
ChrU_1343481	unplaced-scaffold	na	na	GJ058086.1	=	NW_003098831.1	Primary Assembly	1095	na
ChrU_1344676	unplaced-scaffold	na	na	GJ058087.1	=	NW_003098832.1	Primary Assembly	1107	na
ChrU_1345883	unplaced-scaffold	na	na	GJ058088.1	=	NW_003098833.1	Primary Assembly	1109	na
ChrU_1347092	unplaced-scaffold	na	na	GJ058089.1	=	NW_003098834.1	Primary Assembly	1103	na
ChrU_1348295	unplaced-scaffold	na	na	GJ058090.1	=	NW_003098835.1	Primary Assembly	1067	na
ChrU_1349462	unplaced-scaffold	na	na	GJ058091.1	=	NW_003098836.1	Primary Assembly	1105	na
ChrU_1350667	unplaced-scaffold	na	na	GJ058092.1	=	NW_003098837.1	Primary Assembly	1061	na
ChrU_1351828	unplaced-scaffold	na	na	GJ058093.1	=	NW_003098838.1	Primary Assembly	1070	na
ChrU_1355599	unplaced-scaffold	na	na	GJ058096.1	=	NW_003098841.1	Primary Assembly	1452	na
ChrU_1357151	unplaced-scaffold	na	na	GJ058097.1	=	NW_003098842.1	Primary Assembly	1134	na
ChrU_1358385	unplaced-scaffold	na	na	GJ058098.1	=	NW_003098843.1	Primary Assembly	1069	na
ChrU_1359554	unplaced-scaffold	na	na	GJ058099.1	=	NW_003098844.1	Primary Assembly	1085	na
ChrU_1360739	unplaced-scaffold	na	na	GJ058100.1	=	NW_003098845.1	Primary Assembly	1304	na
ChrU_1362143	unplaced-scaffold	na	na	GJ058101.1	=	NW_003098846.1	Primary Assembly	1193	na
ChrU_1363436	unplaced-scaffold	na	na	GJ058102.1	=	NW_003098847.1	Primary Assembly	1360	na
ChrU_1364896	unplaced-scaffold	na	na	GJ058103.1	=	NW_003098848.1	Primary Assembly	1096	na
ChrU_1366092	unplaced-scaffold	na	na	GJ058104.1	=	NW_003098849.1	Primary Assembly	1283	na
ChrU_1367475	unplaced-scaffold	na	na	GJ058105.1	=	NW_003098850.1	Primary Assembly	1053	na
ChrU_1368628	unplaced-scaffold	na	na	GJ058106.1	=	NW_003098851.1	Primary Assembly	1021	na
ChrU_1369749	unplaced-scaffold	na	na	GJ058107.1	=	NW_003098852.1	Primary Assembly	1300	na
ChrU_1371149	unplaced-scaffold	na	na	GJ058108.1	=	NW_003098853.1	Primary Assembly	1603	na
ChrU_1372852	unplaced-scaffold	na	na	GJ058109.1	=	NW_003098854.1	Primary Assembly	1116	na
ChrU_1374068	unplaced-scaffold	na	na	GJ058110.1	=	NW_003098855.1	Primary Assembly	1072	na
ChrU_1375240	unplaced-scaffold	na	na	GJ058111.1	=	NW_003098856.1	Primary Assembly	1380	na
ChrU_1376720	unplaced-scaffold	na	na	GJ058112.1	=	NW_003098857.1	Primary Assembly	1532	na
ChrU_1378352	unplaced-scaffold	na	na	GJ058113.1	=	NW_003098858.1	Primary Assembly	1563	na
ChrU_1380015	unplaced-scaffold	na	na	GJ058114.1	=	NW_003098859.1	Primary Assembly	1360	na
ChrU_1381475	unplaced-scaffold	na	na	GJ058115.1	=	NW_003098860.1	Primary Assembly	1129	na
ChrU_1382704	unplaced-scaffold	na	na	GJ058116.1	=	NW_003098861.1	Primary Assembly	1455	na
ChrU_1384259	unplaced-scaffold	na	na	GJ058117.1	=	NW_003098862.1	Primary Assembly	1087	na
ChrU_1385446	unplaced-scaffold	na	na	GJ058118.1	=	NW_003098863.1	Primary Assembly	1084	na
ChrU_1386630	unplaced-scaffold	na	na	GJ058119.1	=	NW_003098864.1	Primary Assembly	1391	na
ChrU_1388121	unplaced-scaffold	na	na	GJ058120.1	=	NW_003098865.1	Primary Assembly	1102	na
ChrU_1389323	unplaced-scaffold	na	na	GJ058121.1	=	NW_003098866.1	Primary Assembly	1492	na
ChrU_1390915	unplaced-scaffold	na	na	GJ058122.1	=	NW_003098867.1	Primary Assembly	1125	na
ChrU_1392140	unplaced-scaffold	na	na	GJ058123.1	=	NW_003098868.1	Primary Assembly	1477	na
ChrU_1393717	unplaced-scaffold	na	na	GJ058124.1	=	NW_003098869.1	Primary Assembly	1462	na
ChrU_1395279	unplaced-scaffold	na	na	GJ058125.1	=	NW_003098870.1	Primary Assembly	1499	na
ChrU_1396878	unplaced-scaffold	na	na	GJ058126.1	=	NW_003098871.1	Primary Assembly	1176	na
ChrU_1398154	unplaced-scaffold	na	na	GJ058127.1	=	NW_003098872.1	Primary Assembly	1282	na
ChrU_1399536	unplaced-scaffold	na	na	GJ058128.1	=	NW_003098873.1	Primary Assembly	1224	na
ChrU_1400860	unplaced-scaffold	na	na	GJ058129.1	=	NW_003098874.1	Primary Assembly	1094	na
ChrU_1402054	unplaced-scaffold	na	na	GJ058130.1	=	NW_003098875.1	Primary Assembly	1401	na
ChrU_1403555	unplaced-scaffold	na	na	GJ058131.1	=	NW_003098876.1	Primary Assembly	1348	na
ChrU_1405003	unplaced-scaffold	na	na	GJ058132.1	=	NW_003098877.1	Primary Assembly	1136	na
ChrU_1406239	unplaced-scaffold	na	na	GJ058133.1	=	NW_003098878.1	Primary Assembly	1038	na
ChrU_1407377	unplaced-scaffold	na	na	GJ058134.1	=	NW_003098879.1	Primary Assembly	1173	na
ChrU_1408650	unplaced-scaffold	na	na	GJ058135.1	=	NW_003098880.1	Primary Assembly	1383	na
ChrU_1410133	unplaced-scaffold	na	na	GJ058136.1	=	NW_003098881.1	Primary Assembly	1516	na
ChrU_1411749	unplaced-scaffold	na	na	GJ058137.1	=	NW_003098882.1	Primary Assembly	1593	na
ChrU_1413442	unplaced-scaffold	na	na	GJ058138.1	=	NW_003098883.1	Primary Assembly	1214	na
ChrU_1414756	unplaced-scaffold	na	na	GJ058139.1	=	NW_003098884.1	Primary Assembly	1440	na
ChrU_1416296	unplaced-scaffold	na	na	GJ058140.1	=	NW_003098885.1	Primary Assembly	1231	na
ChrU_1417627	unplaced-scaffold	na	na	GJ058141.1	=	NW_003098886.1	Primary Assembly	1256	na
ChrU_1418983	unplaced-scaffold	na	na	GJ058142.1	=	NW_003098887.1	Primary Assembly	1398	na
ChrU_1420481	unplaced-scaffold	na	na	GJ058143.1	=	NW_003098888.1	Primary Assembly	1092	na
ChrU_1421673	unplaced-scaffold	na	na	GJ058144.1	=	NW_003098889.1	Primary Assembly	1262	na
ChrU_1423035	unplaced-scaffold	na	na	GJ058145.1	=	NW_003098890.1	Primary Assembly	1125	na
ChrU_1424260	unplaced-scaffold	na	na	GJ058146.1	=	NW_003098891.1	Primary Assembly	1066	na
ChrU_1425426	unplaced-scaffold	na	na	GJ058147.1	=	NW_003098892.1	Primary Assembly	1537	na
ChrU_1427063	unplaced-scaffold	na	na	GJ058148.1	=	NW_003098893.1	Primary Assembly	1174	na
ChrU_1428337	unplaced-scaffold	na	na	GJ058149.1	=	NW_003098894.1	Primary Assembly	1062	na
ChrU_1429499	unplaced-scaffold	na	na	GJ058150.1	=	NW_003098895.1	Primary Assembly	1251	na
ChrU_1430850	unplaced-scaffold	na	na	GJ058151.1	=	NW_003098896.1	Primary Assembly	1203	na
ChrU_1432153	unplaced-scaffold	na	na	GJ058152.1	=	NW_003098897.1	Primary Assembly	1160	na
ChrU_1433413	unplaced-scaffold	na	na	GJ058153.1	=	NW_003098898.1	Primary Assembly	1610	na
ChrU_1435123	unplaced-scaffold	na	na	GJ058154.1	=	NW_003098899.1	Primary Assembly	1082	na
ChrU_1436305	unplaced-scaffold	na	na	GJ058155.1	=	NW_003098900.1	Primary Assembly	903	na
ChrU_1437308	unplaced-scaffold	na	na	GJ058156.1	=	NW_003098901.1	Primary Assembly	1087	na
ChrU_1438495	unplaced-scaffold	na	na	GJ058157.1	=	NW_003098902.1	Primary Assembly	1301	na
ChrU_1439896	unplaced-scaffold	na	na	GJ058158.1	=	NW_003098903.1	Primary Assembly	1378	na
ChrU_1441374	unplaced-scaffold	na	na	GJ058159.1	=	NW_003098904.1	Primary Assembly	1132	na
ChrU_1442606	unplaced-scaffold	na	na	GJ058160.1	=	NW_003098905.1	Primary Assembly	1484	na
ChrU_1444190	unplaced-scaffold	na	na	GJ058161.1	=	NW_003098906.1	Primary Assembly	1297	na
ChrU_1445587	unplaced-scaffold	na	na	GJ058162.1	=	NW_003098907.1	Primary Assembly	1051	na
ChrU_1446738	unplaced-scaffold	na	na	GJ058163.1	=	NW_003098908.1	Primary Assembly	1083	na
ChrU_1447921	unplaced-scaffold	na	na	GJ058164.1	=	NW_003098909.1	Primary Assembly	1373	na
ChrU_1449394	unplaced-scaffold	na	na	GJ058165.1	=	NW_003098910.1	Primary Assembly	1381	na
ChrU_1450875	unplaced-scaffold	na	na	GJ058166.1	=	NW_003098911.1	Primary Assembly	1149	na
ChrU_1452124	unplaced-scaffold	na	na	GJ058167.1	=	NW_003098912.1	Primary Assembly	1193	na
ChrU_1453417	unplaced-scaffold	na	na	GJ058168.1	=	NW_003098913.1	Primary Assembly	1446	na
ChrU_1454963	unplaced-scaffold	na	na	GJ058169.1	=	NW_003098914.1	Primary Assembly	1661	na
ChrU_1456724	unplaced-scaffold	na	na	GJ058170.1	=	NW_003098915.1	Primary Assembly	1308	na
ChrU_1458132	unplaced-scaffold	na	na	GJ058171.1	=	NW_003098916.1	Primary Assembly	1051	na
ChrU_1459283	unplaced-scaffold	na	na	GJ058172.1	=	NW_003098917.1	Primary Assembly	1400	na
ChrU_1460783	unplaced-scaffold	na	na	GJ058173.1	=	NW_003098918.1	Primary Assembly	1766	na
ChrU_1462649	unplaced-scaffold	na	na	GJ058174.1	=	NW_003098919.1	Primary Assembly	1520	na
ChrU_1464269	unplaced-scaffold	na	na	GJ058175.1	=	NW_003098920.1	Primary Assembly	1159	na
ChrU_1465528	unplaced-scaffold	na	na	GJ058176.1	=	NW_003098921.1	Primary Assembly	1219	na
ChrU_1466847	unplaced-scaffold	na	na	GJ058177.1	=	NW_003098922.1	Primary Assembly	1218	na
ChrU_1468165	unplaced-scaffold	na	na	GJ058178.1	=	NW_003098923.1	Primary Assembly	1392	na
ChrU_1469657	unplaced-scaffold	na	na	GJ058179.1	=	NW_003098924.1	Primary Assembly	1284	na
ChrU_1471041	unplaced-scaffold	na	na	GJ058180.1	=	NW_003098925.1	Primary Assembly	1433	na
ChrU_1472574	unplaced-scaffold	na	na	GJ058181.1	=	NW_003098926.1	Primary Assembly	1374	na
ChrU_1474048	unplaced-scaffold	na	na	GJ058182.1	=	NW_003098927.1	Primary Assembly	1507	na
ChrU_1475655	unplaced-scaffold	na	na	GJ058183.1	=	NW_003098928.1	Primary Assembly	1066	na
ChrU_1476821	unplaced-scaffold	na	na	GJ058184.1	=	NW_003098929.1	Primary Assembly	1306	na
ChrU_1478227	unplaced-scaffold	na	na	GJ058185.1	=	NW_003098930.1	Primary Assembly	1226	na
ChrU_1479553	unplaced-scaffold	na	na	GJ058186.1	=	NW_003098931.1	Primary Assembly	1479	na
ChrU_1481132	unplaced-scaffold	na	na	GJ058187.1	=	NW_003098932.1	Primary Assembly	1467	na
ChrU_1482699	unplaced-scaffold	na	na	GJ058188.1	=	NW_003098933.1	Primary Assembly	1020	na
ChrU_1483819	unplaced-scaffold	na	na	GJ058189.1	=	NW_003098934.1	Primary Assembly	1412	na
ChrU_1485331	unplaced-scaffold	na	na	GJ058190.1	=	NW_003098935.1	Primary Assembly	1309	na
ChrU_1486740	unplaced-scaffold	na	na	GJ058191.1	=	NW_003098936.1	Primary Assembly	1118	na
ChrU_1487958	unplaced-scaffold	na	na	GJ058192.1	=	NW_003098937.1	Primary Assembly	1311	na
ChrU_1489369	unplaced-scaffold	na	na	GJ058193.1	=	NW_003098938.1	Primary Assembly	1002	na
ChrU_1490471	unplaced-scaffold	na	na	GJ058194.1	=	NW_003098939.1	Primary Assembly	1656	na
ChrU_1492227	unplaced-scaffold	na	na	GJ058195.1	=	NW_003098940.1	Primary Assembly	1009	na
ChrU_1493336	unplaced-scaffold	na	na	GJ058196.1	=	NW_003098941.1	Primary Assembly	1291	na
ChrU_1494727	unplaced-scaffold	na	na	GJ058197.1	=	NW_003098942.1	Primary Assembly	1763	na
ChrU_1496590	unplaced-scaffold	na	na	GJ058198.1	=	NW_003098943.1	Primary Assembly	1235	na
ChrU_1497925	unplaced-scaffold	na	na	GJ058199.1	=	NW_003098944.1	Primary Assembly	1365	na
ChrU_1499390	unplaced-scaffold	na	na	GJ058200.1	=	NW_003098945.1	Primary Assembly	1381	na
ChrU_1500871	unplaced-scaffold	na	na	GJ058201.1	=	NW_003098946.1	Primary Assembly	1240	na
ChrU_1502211	unplaced-scaffold	na	na	GJ058202.1	=	NW_003098947.1	Primary Assembly	1670	na
ChrU_1503981	unplaced-scaffold	na	na	GJ058203.1	=	NW_003098948.1	Primary Assembly	1292	na
ChrU_1505373	unplaced-scaffold	na	na	GJ058204.1	=	NW_003098949.1	Primary Assembly	1227	na
ChrU_1506700	unplaced-scaffold	na	na	GJ058205.1	=	NW_003098950.1	Primary Assembly	1081	na
ChrU_1507881	unplaced-scaffold	na	na	GJ058206.1	=	NW_003098951.1	Primary Assembly	1262	na
ChrU_1509243	unplaced-scaffold	na	na	GJ058207.1	=	NW_003098952.1	Primary Assembly	1568	na
ChrU_1512857	unplaced-scaffold	na	na	GJ058209.1	=	NW_003098954.1	Primary Assembly	1150	na
ChrU_1514107	unplaced-scaffold	na	na	GJ058210.1	=	NW_003098955.1	Primary Assembly	2515	na
ChrU_1516722	unplaced-scaffold	na	na	GJ058211.1	=	NW_003098956.1	Primary Assembly	1260	na
ChrU_1518082	unplaced-scaffold	na	na	GJ058212.1	=	NW_003098957.1	Primary Assembly	1075	na
ChrU_1519257	unplaced-scaffold	na	na	GJ058213.1	=	NW_003098958.1	Primary Assembly	1542	na
ChrU_1520899	unplaced-scaffold	na	na	GJ058214.1	=	NW_003098959.1	Primary Assembly	1180	na
ChrU_1522179	unplaced-scaffold	na	na	GJ058215.1	=	NW_003098960.1	Primary Assembly	1547	na
ChrU_1523826	unplaced-scaffold	na	na	GJ058216.1	=	NW_003098961.1	Primary Assembly	6930	na
ChrU_1530856	unplaced-scaffold	na	na	GJ058217.1	=	NW_003098962.1	Primary Assembly	1465	na
ChrU_1532421	unplaced-scaffold	na	na	GJ058218.1	=	NW_003098963.1	Primary Assembly	1247	na
ChrU_1533768	unplaced-scaffold	na	na	GJ058219.1	=	NW_003098964.1	Primary Assembly	1137	na
ChrU_1535005	unplaced-scaffold	na	na	GJ058220.1	=	NW_003098965.1	Primary Assembly	1409	na
ChrU_1536514	unplaced-scaffold	na	na	GJ058221.1	=	NW_003098966.1	Primary Assembly	1638	na
ChrU_1538252	unplaced-scaffold	na	na	GJ058222.1	=	NW_003098967.1	Primary Assembly	1172	na
ChrU_1539524	unplaced-scaffold	na	na	GJ058223.1	=	NW_003098968.1	Primary Assembly	1478	na
ChrU_1541102	unplaced-scaffold	na	na	GJ058224.1	=	NW_003098969.1	Primary Assembly	1259	na
ChrU_1542461	unplaced-scaffold	na	na	GJ058225.1	=	NW_003098970.1	Primary Assembly	1206	na
ChrU_1543767	unplaced-scaffold	na	na	GJ058226.1	=	NW_003098971.1	Primary Assembly	1013	na
ChrU_1544880	unplaced-scaffold	na	na	GJ058227.1	=	NW_003098972.1	Primary Assembly	1589	na
ChrU_1546569	unplaced-scaffold	na	na	GJ058228.1	=	NW_003098973.1	Primary Assembly	1053	na
ChrU_1547722	unplaced-scaffold	na	na	GJ058229.1	=	NW_003098974.1	Primary Assembly	1102	na
ChrU_1548924	unplaced-scaffold	na	na	GJ058230.1	=	NW_003098975.1	Primary Assembly	1111	na
ChrU_1550135	unplaced-scaffold	na	na	GJ058231.1	=	NW_003098976.1	Primary Assembly	1294	na
ChrU_1551529	unplaced-scaffold	na	na	GJ058232.1	=	NW_003098977.1	Primary Assembly	1244	na
ChrU_1552873	unplaced-scaffold	na	na	GJ058233.1	=	NW_003098978.1	Primary Assembly	1261	na
ChrU_1554234	unplaced-scaffold	na	na	GJ058234.1	=	NW_003098979.1	Primary Assembly	1430	na
ChrU_1555764	unplaced-scaffold	na	na	GJ058235.1	=	NW_003098980.1	Primary Assembly	1713	na
ChrU_1557577	unplaced-scaffold	na	na	GJ058236.1	=	NW_003098981.1	Primary Assembly	1250	na
ChrU_1558927	unplaced-scaffold	na	na	GJ058237.1	=	NW_003098982.1	Primary Assembly	1744	na
ChrU_1560771	unplaced-scaffold	na	na	GJ058238.1	=	NW_003098983.1	Primary Assembly	1244	na
ChrU_1562115	unplaced-scaffold	na	na	GJ058239.1	=	NW_003098984.1	Primary Assembly	1182	na
ChrU_1563397	unplaced-scaffold	na	na	GJ058240.1	=	NW_003098985.1	Primary Assembly	1556	na
ChrU_1565053	unplaced-scaffold	na	na	GJ058241.1	=	NW_003098986.1	Primary Assembly	1759	na
ChrU_1566912	unplaced-scaffold	na	na	GJ058242.1	=	NW_003098987.1	Primary Assembly	1243	na
ChrU_1568255	unplaced-scaffold	na	na	GJ058243.1	=	NW_003098988.1	Primary Assembly	1419	na
ChrU_1569774	unplaced-scaffold	na	na	GJ058244.1	=	NW_003098989.1	Primary Assembly	1367	na
ChrU_1571241	unplaced-scaffold	na	na	GJ058245.1	=	NW_003098990.1	Primary Assembly	1450	na
ChrU_1572791	unplaced-scaffold	na	na	GJ058246.1	=	NW_003098991.1	Primary Assembly	1215	na
ChrU_1574106	unplaced-scaffold	na	na	GJ058247.1	=	NW_003098992.1	Primary Assembly	1723	na
ChrU_1575929	unplaced-scaffold	na	na	GJ058248.1	=	NW_003098993.1	Primary Assembly	1123	na
ChrU_1577152	unplaced-scaffold	na	na	GJ058249.1	=	NW_003098994.1	Primary Assembly	1286	na
ChrU_1578538	unplaced-scaffold	na	na	GJ058250.1	=	NW_003098995.1	Primary Assembly	1684	na
ChrU_1581903	unplaced-scaffold	na	na	GJ058252.1	=	NW_003098997.1	Primary Assembly	1157	na
ChrU_1583160	unplaced-scaffold	na	na	GJ058253.1	=	NW_003098998.1	Primary Assembly	1540	na
ChrU_1584800	unplaced-scaffold	na	na	GJ058254.1	=	NW_003098999.1	Primary Assembly	1232	na
ChrU_1586132	unplaced-scaffold	na	na	GJ058255.1	=	NW_003099000.1	Primary Assembly	1126	na
ChrU_1587358	unplaced-scaffold	na	na	GJ058256.1	=	NW_003099001.1	Primary Assembly	1249	na
ChrU_1588707	unplaced-scaffold	na	na	GJ058257.1	=	NW_003099002.1	Primary Assembly	1096	na
ChrU_1589903	unplaced-scaffold	na	na	GJ058258.1	=	NW_003099003.1	Primary Assembly	1600	na
ChrU_1591603	unplaced-scaffold	na	na	GJ058259.1	=	NW_003099004.1	Primary Assembly	1205	na
ChrU_1592908	unplaced-scaffold	na	na	GJ058260.1	=	NW_003099005.1	Primary Assembly	1519	na
ChrU_1594527	unplaced-scaffold	na	na	GJ058261.1	=	NW_003099006.1	Primary Assembly	1104	na
ChrU_1595731	unplaced-scaffold	na	na	GJ058262.1	=	NW_003099007.1	Primary Assembly	1101	na
ChrU_1596932	unplaced-scaffold	na	na	GJ058263.1	=	NW_003099008.1	Primary Assembly	1393	na
ChrU_1598425	unplaced-scaffold	na	na	GJ058264.1	=	NW_003099009.1	Primary Assembly	1337	na
ChrU_1599862	unplaced-scaffold	na	na	GJ058265.1	=	NW_003099010.1	Primary Assembly	1767	na
ChrU_1601729	unplaced-scaffold	na	na	GJ058266.1	=	NW_003099011.1	Primary Assembly	1078	na
ChrU_1602907	unplaced-scaffold	na	na	GJ058267.1	=	NW_003099012.1	Primary Assembly	1494	na
ChrU_1604501	unplaced-scaffold	na	na	GJ058268.1	=	NW_003099013.1	Primary Assembly	1261	na
ChrU_1605862	unplaced-scaffold	na	na	GJ058269.1	=	NW_003099014.1	Primary Assembly	1069	na
ChrU_1607031	unplaced-scaffold	na	na	GJ058270.1	=	NW_003099015.1	Primary Assembly	1118	na
ChrU_1608249	unplaced-scaffold	na	na	GJ058271.1	=	NW_003099016.1	Primary Assembly	1266	na
ChrU_1609615	unplaced-scaffold	na	na	GJ058272.1	=	NW_003099017.1	Primary Assembly	1079	na
ChrU_1610794	unplaced-scaffold	na	na	GJ058273.1	=	NW_003099018.1	Primary Assembly	1438	na
ChrU_1612332	unplaced-scaffold	na	na	GJ058274.1	=	NW_003099019.1	Primary Assembly	1703	na
ChrU_1614135	unplaced-scaffold	na	na	GJ058275.1	=	NW_003099020.1	Primary Assembly	1411	na
ChrU_1615646	unplaced-scaffold	na	na	GJ058276.1	=	NW_003099021.1	Primary Assembly	2862	na
ChrU_1618608	unplaced-scaffold	na	na	GJ058277.1	=	NW_003099022.1	Primary Assembly	1287	na
ChrU_1619995	unplaced-scaffold	na	na	GJ058278.1	=	NW_003099023.1	Primary Assembly	1066	na
ChrU_1621161	unplaced-scaffold	na	na	GJ058279.1	=	NW_003099024.1	Primary Assembly	1526	na
ChrU_1622787	unplaced-scaffold	na	na	GJ058280.1	=	NW_003099025.1	Primary Assembly	1468	na
ChrU_1624355	unplaced-scaffold	na	na	GJ058281.1	=	NW_003099026.1	Primary Assembly	1264	na
ChrU_1625719	unplaced-scaffold	na	na	GJ058282.1	=	NW_003099027.1	Primary Assembly	1573	na
ChrU_1627392	unplaced-scaffold	na	na	GJ058283.1	=	NW_003099028.1	Primary Assembly	1437	na
ChrU_1628929	unplaced-scaffold	na	na	GJ058284.1	=	NW_003099029.1	Primary Assembly	1409	na
ChrU_1630438	unplaced-scaffold	na	na	GJ058285.1	=	NW_003099030.1	Primary Assembly	1239	na
ChrU_1631777	unplaced-scaffold	na	na	GJ058286.1	=	NW_003099031.1	Primary Assembly	1260	na
ChrU_1633137	unplaced-scaffold	na	na	GJ058287.1	=	NW_003099032.1	Primary Assembly	1942	na
ChrU_1635179	unplaced-scaffold	na	na	GJ058288.1	=	NW_003099033.1	Primary Assembly	1653	na
ChrU_1636932	unplaced-scaffold	na	na	GJ058289.1	=	NW_003099034.1	Primary Assembly	1751	na
ChrU_1638783	unplaced-scaffold	na	na	GJ058290.1	=	NW_003099035.1	Primary Assembly	1038	na
ChrU_1639921	unplaced-scaffold	na	na	GJ058291.1	=	NW_003099036.1	Primary Assembly	1246	na
ChrU_1641267	unplaced-scaffold	na	na	GJ058292.1	=	NW_003099037.1	Primary Assembly	1641	na
ChrU_1643008	unplaced-scaffold	na	na	GJ058293.1	=	NW_003099038.1	Primary Assembly	2275	na
ChrU_1645383	unplaced-scaffold	na	na	GJ058294.1	=	NW_003099039.1	Primary Assembly	1357	na
ChrU_1646840	unplaced-scaffold	na	na	GJ058295.1	=	NW_003099040.1	Primary Assembly	1280	na
ChrU_1648220	unplaced-scaffold	na	na	GJ058296.1	=	NW_003099041.1	Primary Assembly	1008	na
ChrU_1649328	unplaced-scaffold	na	na	GJ058297.1	=	NW_003099042.1	Primary Assembly	1432	na
ChrU_1650860	unplaced-scaffold	na	na	GJ058298.1	=	NW_003099043.1	Primary Assembly	1570	na
ChrU_1652530	unplaced-scaffold	na	na	GJ058299.1	=	NW_003099044.1	Primary Assembly	1377	na
ChrU_1654007	unplaced-scaffold	na	na	GJ058300.1	=	NW_003099045.1	Primary Assembly	1828	na
ChrU_1655935	unplaced-scaffold	na	na	GJ058301.1	=	NW_003099046.1	Primary Assembly	1253	na
ChrU_1657288	unplaced-scaffold	na	na	GJ058302.1	=	NW_003099047.1	Primary Assembly	1029	na
ChrU_1658417	unplaced-scaffold	na	na	GJ058303.1	=	NW_003099048.1	Primary Assembly	1279	na
ChrU_1659796	unplaced-scaffold	na	na	GJ058304.1	=	NW_003099049.1	Primary Assembly	1132	na
ChrU_1661028	unplaced-scaffold	na	na	GJ058305.1	=	NW_003099050.1	Primary Assembly	1360	na
ChrU_1662488	unplaced-scaffold	na	na	GJ058306.1	=	NW_003099051.1	Primary Assembly	1130	na
ChrU_1663718	unplaced-scaffold	na	na	GJ058307.1	=	NW_003099052.1	Primary Assembly	1156	na
ChrU_1664974	unplaced-scaffold	na	na	GJ058308.1	=	NW_003099053.1	Primary Assembly	1632	na
