CM000812.5.tRNA5870-LeuTAA	chr1.tRNA5870-LeuTAA
CM000818.5.tRNA354-MetCAT	chr7.tRNA354-MetCAT
CM000818.5.tRNA3239-ThrCGT	chr7.tRNA3239-ThrCGT
CM000818.5.tRNA355-IleTAT	chr7.tRNA355-IleTAT
CM000818.5.tRNA3237-ArgTCG	chr7.tRNA3237-ArgTCG
CM000818.5.tRNA3236-ThrTGT	chr7.tRNA3236-ThrTGT
CM000818.5.tRNA356-GlnTTG	chr7.tRNA356-GlnTTG
CM000818.5.tRNA3235-SerGCT	chr7.tRNA3235-SerGCT
CM000818.5.tRNA357-AlaAGC	chr7.tRNA357-AlaAGC
CM000818.5.tRNA358-AlaAGC	chr7.tRNA358-AlaAGC
CM000818.5.tRNA359-ThrCGT	chr7.tRNA359-ThrCGT
CM000818.5.tRNA3234-AlaTGC	chr7.tRNA3234-AlaTGC
CM000818.5.tRNA360-AlaTGC	chr7.tRNA360-AlaTGC
CM000818.5.tRNA3107-GluTTC	chr7.tRNA3107-GluTTC
CM000818.5.tRNA3001-AsnATT	chr7.tRNA3001-AsnATT
CM000818.5.tRNA2986-ValAAC	chr7.tRNA2986-ValAAC
CM000818.5.tRNA851-LysCTT	chr7.tRNA851-LysCTT
CM000818.5.tRNA974-ArgTCG	chr7.tRNA974-ArgTCG
CM000818.5.tRNA2608-TyrGTA	chr7.tRNA2608-TyrGTA
CM000818.5.tRNA1151-TyrGTA	chr7.tRNA1151-TyrGTA
CM000818.5.tRNA2467-ArgACG	chr7.tRNA2467-ArgACG
CM000818.5.tRNA1297-TyrGTA	chr7.tRNA1297-TyrGTA
CM000818.5.tRNA2434-ProTGG	chr7.tRNA2434-ProTGG
CM000818.5.tRNA2433-TyrGTA	chr7.tRNA2433-TyrGTA
CM000818.5.tRNA2432-ThrTGT	chr7.tRNA2432-ThrTGT
CM000818.5.tRNA1298-LeuTAG	chr7.tRNA1298-LeuTAG
CM000818.5.tRNA1299-LeuAAG	chr7.tRNA1299-LeuAAG
CM000818.5.tRNA1300-TyrGTA	chr7.tRNA1300-TyrGTA
CM000818.5.tRNA1301-TyrGTA	chr7.tRNA1301-TyrGTA
CM000818.5.tRNA1302-TyrGTA	chr7.tRNA1302-TyrGTA
CM000818.5.tRNA2431-ProTGG	chr7.tRNA2431-ProTGG
CM000818.5.tRNA1304-ThrTGT	chr7.tRNA1304-ThrTGT
CM000818.5.tRNA1305-TyrGTA	chr7.tRNA1305-TyrGTA
CM000818.5.tRNA2430-LeuTAG	chr7.tRNA2430-LeuTAG
CM000818.5.tRNA1306-ThrTGT	chr7.tRNA1306-ThrTGT
CM000818.5.tRNA1307-ProAGG	chr7.tRNA1307-ProAGG
CM000818.5.tRNA2429-LeuAAG	chr7.tRNA2429-LeuAAG
CM000818.5.tRNA1308-ProAGG	chr7.tRNA1308-ProAGG
CM000818.5.tRNA1934-GluTTC	chr7.tRNA1934-GluTTC
CM000819.5.tRNA2925-AlaAGC	chr8.tRNA2925-AlaAGC
CM000819.5.tRNA2656-GluTTC	chr8.tRNA2656-GluTTC
CM000819.5.tRNA1261-CysGCA	chr8.tRNA1261-CysGCA
CM000820.5.tRNA151-ProAGG	chr9.tRNA151-ProAGG
CM000820.5.tRNA3199-ProTGG	chr9.tRNA3199-ProTGG
CM000820.5.tRNA840-LysTTT	chr9.tRNA840-LysTTT
CM000820.5.tRNA2552-LysTTT	chr9.tRNA2552-LysTTT
CM000820.5.tRNA911-GluTTC	chr9.tRNA911-GluTTC
CM000820.5.tRNA1316-GluTTC	chr9.tRNA1316-GluTTC
CM000820.5.tRNA1753-GluTTC	chr9.tRNA1753-GluTTC
AEMK02000264.1.tRNA51-LeuAAG	chrUn_NW_018084804v1.tRNA51-LeuAAG
AEMK02000264.1.tRNA50-GluCTC	chrUn_NW_018084804v1.tRNA50-GluCTC
AEMK02000264.1.tRNA5-PheGAA	chrUn_NW_018084804v1.tRNA5-PheGAA
AEMK02000264.1.tRNA6-MetCAT	chrUn_NW_018084804v1.tRNA6-MetCAT
AEMK02000264.1.tRNA49-LysTTT	chrUn_NW_018084804v1.tRNA49-LysTTT
AEMK02000264.1.tRNA48-MetCAT	chrUn_NW_018084804v1.tRNA48-MetCAT
AEMK02000264.1.tRNA7-LeuAAG	chrUn_NW_018084804v1.tRNA7-LeuAAG
AEMK02000264.1.tRNA8-GlnCTG	chrUn_NW_018084804v1.tRNA8-GlnCTG
AEMK02000264.1.tRNA47-LeuCAA	chrUn_NW_018084804v1.tRNA47-LeuCAA
AEMK02000264.1.tRNA9-MetCAT	chrUn_NW_018084804v1.tRNA9-MetCAT
AEMK02000264.1.tRNA10-LeuCAA	chrUn_NW_018084804v1.tRNA10-LeuCAA
AEMK02000264.1.tRNA46-ArgCCG	chrUn_NW_018084804v1.tRNA46-ArgCCG
AEMK02000264.1.tRNA11-AlaAGC	chrUn_NW_018084804v1.tRNA11-AlaAGC
AEMK02000264.1.tRNA12-AlaAGC	chrUn_NW_018084804v1.tRNA12-AlaAGC
AEMK02000264.1.tRNA13-AlaCGC	chrUn_NW_018084804v1.tRNA13-AlaCGC
AEMK02000264.1.tRNA14-PheGAA	chrUn_NW_018084804v1.tRNA14-PheGAA
AEMK02000264.1.tRNA15-AlaTGC	chrUn_NW_018084804v1.tRNA15-AlaTGC
AEMK02000264.1.tRNA45-LysTTT	chrUn_NW_018084804v1.tRNA45-LysTTT
AEMK02000264.1.tRNA16-ArgCCG	chrUn_NW_018084804v1.tRNA16-ArgCCG
AEMK02000264.1.tRNA17-AlaAGC	chrUn_NW_018084804v1.tRNA17-AlaAGC
AEMK02000264.1.tRNA44-AlaCGC	chrUn_NW_018084804v1.tRNA44-AlaCGC
AEMK02000264.1.tRNA43-AlaTGC	chrUn_NW_018084804v1.tRNA43-AlaTGC
AEMK02000264.1.tRNA18-PheGAA	chrUn_NW_018084804v1.tRNA18-PheGAA
AEMK02000264.1.tRNA42-ThrAGT	chrUn_NW_018084804v1.tRNA42-ThrAGT
AEMK02000264.1.tRNA41-PheGAA	chrUn_NW_018084804v1.tRNA41-PheGAA
AEMK02000264.1.tRNA39-PheGAA	chrUn_NW_018084804v1.tRNA39-PheGAA
AEMK02000264.1.tRNA38-AlaAGC	chrUn_NW_018084804v1.tRNA38-AlaAGC
AEMK02000264.1.tRNA37-AlaTGC	chrUn_NW_018084804v1.tRNA37-AlaTGC
AEMK02000264.1.tRNA36-PheGAA	chrUn_NW_018084804v1.tRNA36-PheGAA
AEMK02000264.1.tRNA35-AlaAGC	chrUn_NW_018084804v1.tRNA35-AlaAGC
AEMK02000264.1.tRNA34-AlaTGC	chrUn_NW_018084804v1.tRNA34-AlaTGC
AEMK02000264.1.tRNA33-AlaAGC	chrUn_NW_018084804v1.tRNA33-AlaAGC
AEMK02000264.1.tRNA20-PheGAA	chrUn_NW_018084804v1.tRNA20-PheGAA
AEMK02000264.1.tRNA21-AlaAGC	chrUn_NW_018084804v1.tRNA21-AlaAGC
AEMK02000264.1.tRNA22-AlaCGC	chrUn_NW_018084804v1.tRNA22-AlaCGC
AEMK02000264.1.tRNA23-LysTTT	chrUn_NW_018084804v1.tRNA23-LysTTT
AEMK02000264.1.tRNA24-AlaCGC	chrUn_NW_018084804v1.tRNA24-AlaCGC
AEMK02000264.1.tRNA25-AlaAGC	chrUn_NW_018084804v1.tRNA25-AlaAGC
AEMK02000264.1.tRNA26-ThrCGT	chrUn_NW_018084804v1.tRNA26-ThrCGT
AEMK02000264.1.tRNA32-AlaTGC	chrUn_NW_018084804v1.tRNA32-AlaTGC
AEMK02000264.1.tRNA27-AlaTGC	chrUn_NW_018084804v1.tRNA27-AlaTGC
AEMK02000264.1.tRNA30-AlaAGC	chrUn_NW_018084804v1.tRNA30-AlaAGC
AEMK02000264.1.tRNA28-SerGCT	chrUn_NW_018084804v1.tRNA28-SerGCT
AEMK02000264.1.tRNA29-GlnTTG	chrUn_NW_018084804v1.tRNA29-GlnTTG
AEMK02000452.1.tRNA27-IleAAT	chrUn_NW_018084979v1.tRNA27-IleAAT
AEMK02000404.1.tRNA1-SerGCT	chrUn_NW_018085054v1.tRNA1-SerGCT
AEMK02000698.1.tRNA6-SerCGA	chrUn_NW_018085100v1.tRNA6-SerCGA
AEMK02000183.1.tRNA1-TrpCCA	chrUn_NW_018085148v1.tRNA1-TrpCCA
AEMK02000247.1.tRNA16-ValCAC	chrUn_NW_018085214v1.tRNA16-ValCAC
AEMK02000247.1.tRNA1-ValCAC	chrUn_NW_018085214v1.tRNA1-ValCAC
AEMK02000247.1.tRNA2-GluTTC	chrUn_NW_018085214v1.tRNA2-GluTTC
AEMK02000247.1.tRNA15-AsnGTT	chrUn_NW_018085214v1.tRNA15-AsnGTT
AEMK02000247.1.tRNA14-HisGTG	chrUn_NW_018085214v1.tRNA14-HisGTG
AEMK02000247.1.tRNA3-AsnGTT	chrUn_NW_018085214v1.tRNA3-AsnGTT
AEMK02000247.1.tRNA13-GluTTC	chrUn_NW_018085214v1.tRNA13-GluTTC
AEMK02000247.1.tRNA12-ValCAC	chrUn_NW_018085214v1.tRNA12-ValCAC
AEMK02000247.1.tRNA11-ValCAC	chrUn_NW_018085214v1.tRNA11-ValCAC
AEMK02000247.1.tRNA4-GlnCTG	chrUn_NW_018085214v1.tRNA4-GlnCTG
AEMK02000247.1.tRNA10-AsnGTT	chrUn_NW_018085214v1.tRNA10-AsnGTT
AEMK02000247.1.tRNA8-AsnGTT	chrUn_NW_018085214v1.tRNA8-AsnGTT
AEMK02000247.1.tRNA6-HisGTG	chrUn_NW_018085214v1.tRNA6-HisGTG
AEMK02000247.1.tRNA7-GlyCCC	chrUn_NW_018085214v1.tRNA7-GlyCCC
CM000830.5.tRNA3246-ValTAC	chrX.tRNA3246-ValTAC
CM000830.5.tRNA3089-GluTTC	chrX.tRNA3089-GluTTC
CM000830.5.tRNA2905-GluTTC	chrX.tRNA2905-GluTTC
CM000830.5.tRNA649-GluTTC	chrX.tRNA649-GluTTC
CM000830.5.tRNA728-GlyTCC	chrX.tRNA728-GlyTCC
CM000830.5.tRNA2583-GluTTC	chrX.tRNA2583-GluTTC
CM000830.5.tRNA2171-GluTTC	chrX.tRNA2171-GluTTC
CM000830.5.tRNA1383-GluTTC	chrX.tRNA1383-GluTTC
CM000830.5.tRNA1566-AlaTGC	chrX.tRNA1566-AlaTGC
