AC_000158.1.tRNA882-ValCAC	chr1.tRNA882-ValCAC
AC_000180.1.tRNA1669-SerCGA	chr23.tRNA1669-SerCGA
AC_000180.1.tRNA1670-ArgACG	chr23.tRNA1670-ArgACG
AC_000180.1.tRNA1671-LysTTT	chr23.tRNA1671-LysTTT
AC_000180.1.tRNA4135-IleAAT	chr23.tRNA4135-IleAAT
AC_000180.1.tRNA4134-PheGAA	chr23.tRNA4134-PheGAA
AC_000180.1.tRNA4133-IleTAT	chr23.tRNA4133-IleTAT
AC_000180.1.tRNA4132-ThrCGT	chr23.tRNA4132-ThrCGT
AC_000180.1.tRNA1672-LeuCAA	chr23.tRNA1672-LeuCAA
AC_000180.1.tRNA4131-LeuCAA	chr23.tRNA4131-LeuCAA
AC_000180.1.tRNA1673-iMetCAT	chr23.tRNA1673-iMetCAT
AC_000180.1.tRNA1674-LysTTT	chr23.tRNA1674-LysTTT
AC_000180.1.tRNA1675-AspGTC	chr23.tRNA1675-AspGTC
AC_000180.1.tRNA4130-LysTTT	chr23.tRNA4130-LysTTT
AC_000180.1.tRNA1676-LeuCAA	chr23.tRNA1676-LeuCAA
AC_000180.1.tRNA4129-ArgTCT	chr23.tRNA4129-ArgTCT
AC_000180.1.tRNA1677-SerAGA	chr23.tRNA1677-SerAGA
AC_000180.1.tRNA1678-GlnCTG	chr23.tRNA1678-GlnCTG
AC_000180.1.tRNA4128-SerTGA	chr23.tRNA4128-SerTGA
AC_000180.1.tRNA1679-SerAGA	chr23.tRNA1679-SerAGA
AC_000180.1.tRNA4127-iMetCAT	chr23.tRNA4127-iMetCAT
AC_000180.1.tRNA4126-SerAGA	chr23.tRNA4126-SerAGA
AC_000180.1.tRNA4125-SerAGA	chr23.tRNA4125-SerAGA
AC_000180.1.tRNA1681-ArgACG	chr23.tRNA1681-ArgACG
AC_000180.1.tRNA1682-ArgACG	chr23.tRNA1682-ArgACG
AC_000180.1.tRNA4124-IleAAT	chr23.tRNA4124-IleAAT
AC_000180.1.tRNA4123-IleAAT	chr23.tRNA4123-IleAAT
AC_000180.1.tRNA1683-ValCAC	chr23.tRNA1683-ValCAC
AC_000180.1.tRNA1684-ValCAC	chr23.tRNA1684-ValCAC
AC_000180.1.tRNA1685-IleAAT	chr23.tRNA1685-IleAAT
AC_000180.1.tRNA1686-ValCAC	chr23.tRNA1686-ValCAC
AC_000180.1.tRNA1687-IleAAT	chr23.tRNA1687-IleAAT
AC_000180.1.tRNA1688-IleAAT	chr23.tRNA1688-IleAAT
AC_000180.1.tRNA1689-iMetCAT	chr23.tRNA1689-iMetCAT
AC_000180.1.tRNA1690-iMetCAT	chr23.tRNA1690-iMetCAT
AC_000180.1.tRNA1691-SerGCT	chr23.tRNA1691-SerGCT
AC_000180.1.tRNA1692-iMetCAT	chr23.tRNA1692-iMetCAT
AC_000180.1.tRNA1693-SerGCT	chr23.tRNA1693-SerGCT
AC_000180.1.tRNA1695-SerGCT	chr23.tRNA1695-SerGCT
AC_000180.1.tRNA4122-SerGCT	chr23.tRNA4122-SerGCT
AC_000180.1.tRNA4121-SerGCT	chr23.tRNA4121-SerGCT
AC_000180.1.tRNA4120-GlnCTG	chr23.tRNA4120-GlnCTG
AC_000180.1.tRNA1696-SerTGA	chr23.tRNA1696-SerTGA
AC_000180.1.tRNA4119-AspGTC	chr23.tRNA4119-AspGTC
AC_000180.1.tRNA4118-SerAGA	chr23.tRNA4118-SerAGA
AC_000180.1.tRNA4117-SerAGA	chr23.tRNA4117-SerAGA
AC_000180.1.tRNA4116-SerAGA	chr23.tRNA4116-SerAGA
AC_000180.1.tRNA1700-ValTAC	chr23.tRNA1700-ValTAC
AC_000180.1.tRNA1702-LysTTT	chr23.tRNA1702-LysTTT
AC_000180.1.tRNA1703-iMetCAT	chr23.tRNA1703-iMetCAT
AC_000180.1.tRNA4114-LeuTAA	chr23.tRNA4114-LeuTAA
AC_000180.1.tRNA1707-IleAAT	chr23.tRNA1707-IleAAT
AC_000180.1.tRNA1708-ThrAGT	chr23.tRNA1708-ThrAGT
AC_000180.1.tRNA4112-ThrAGT	chr23.tRNA4112-ThrAGT
AC_000180.1.tRNA4111-IleAAT	chr23.tRNA4111-IleAAT
AC_000180.1.tRNA1710-LeuTAA	chr23.tRNA1710-LeuTAA
AC_000180.1.tRNA4110-ArgACG	chr23.tRNA4110-ArgACG
AC_000180.1.tRNA4109-SerCGA	chr23.tRNA4109-SerCGA
AC_000180.1.tRNA4108-ValCAC	chr23.tRNA4108-ValCAC
AC_000180.1.tRNA1712-IleAAT	chr23.tRNA1712-IleAAT
AC_000180.1.tRNA4107-ThrAGT	chr23.tRNA4107-ThrAGT
AC_000180.1.tRNA1713-ValTAC	chr23.tRNA1713-ValTAC
AC_000180.1.tRNA4105-SerGCT	chr23.tRNA4105-SerGCT
AC_000180.1.tRNA4104-ProCGG	chr23.tRNA4104-ProCGG
AC_000180.1.tRNA4103-SerGCT	chr23.tRNA4103-SerGCT
AC_000180.1.tRNA4102-IleTAT	chr23.tRNA4102-IleTAT
AC_000180.1.tRNA1715-ArgACG	chr23.tRNA1715-ArgACG
AC_000180.1.tRNA1716-MetCAT	chr23.tRNA1716-MetCAT
AC_000180.1.tRNA1717-ValAAC	chr23.tRNA1717-ValAAC
AC_000180.1.tRNA1718-AlaAGC	chr23.tRNA1718-AlaAGC
AC_000180.1.tRNA1719-MetCAT	chr23.tRNA1719-MetCAT
AC_000180.1.tRNA1722-MetCAT	chr23.tRNA1722-MetCAT
AC_000180.1.tRNA1723-AlaAGC	chr23.tRNA1723-AlaAGC
AC_000180.1.tRNA1724-MetCAT	chr23.tRNA1724-MetCAT
AC_000180.1.tRNA1725-ValAAC	chr23.tRNA1725-ValAAC
AC_000180.1.tRNA1726-AlaAGC	chr23.tRNA1726-AlaAGC
AC_000180.1.tRNA4099-MetCAT	chr23.tRNA4099-MetCAT
AC_000180.1.tRNA4098-AlaAGC	chr23.tRNA4098-AlaAGC
AC_000180.1.tRNA4096-AsnGTT	chr23.tRNA4096-AsnGTT
AC_000180.1.tRNA4095-TyrGTA	chr23.tRNA4095-TyrGTA
AC_000180.1.tRNA4094-TyrGTA	chr23.tRNA4094-TyrGTA
AC_000180.1.tRNA1730-AlaAGC	chr23.tRNA1730-AlaAGC
AC_000180.1.tRNA4093-TyrGTA	chr23.tRNA4093-TyrGTA
AC_000180.1.tRNA4092-LysCTT	chr23.tRNA4092-LysCTT
AC_000180.1.tRNA4091-ProAGG	chr23.tRNA4091-ProAGG
AC_000180.1.tRNA4090-IleAAT	chr23.tRNA4090-IleAAT
AC_000180.1.tRNA4089-AlaCGC	chr23.tRNA4089-AlaCGC
AC_000180.1.tRNA1731-LysTTT	chr23.tRNA1731-LysTTT
AC_000180.1.tRNA4088-ValCAC	chr23.tRNA4088-ValCAC
AC_000180.1.tRNA4087-ArgACG	chr23.tRNA4087-ArgACG
AC_000180.1.tRNA1732-ThrAGT	chr23.tRNA1732-ThrAGT
AC_000180.1.tRNA4086-LeuCAG	chr23.tRNA4086-LeuCAG
AC_000180.1.tRNA1735-TrpCCA	chr23.tRNA1735-TrpCCA
AC_000180.1.tRNA1736-iMetCAT	chr23.tRNA1736-iMetCAT
AC_000180.1.tRNA4082-ArgACG	chr23.tRNA4082-ArgACG
AC_000180.1.tRNA4081-SerAGA	chr23.tRNA4081-SerAGA
AC_000180.1.tRNA4080-ArgTCG	chr23.tRNA4080-ArgTCG
AC_000180.1.tRNA1737-TrpCCA	chr23.tRNA1737-TrpCCA
AC_000180.1.tRNA1739-GlyGCC	chr23.tRNA1739-GlyGCC
AC_000180.1.tRNA1740-iMetCAT	chr23.tRNA1740-iMetCAT
AC_000180.1.tRNA1741-SerTGA	chr23.tRNA1741-SerTGA
AC_000180.1.tRNA1742-GlnTTG	chr23.tRNA1742-GlnTTG
AC_000180.1.tRNA1743-GlnTTG	chr23.tRNA1743-GlnTTG
AC_000180.1.tRNA1744-SerGCT	chr23.tRNA1744-SerGCT
AC_000180.1.tRNA4079-ArgTCG	chr23.tRNA4079-ArgTCG
AC_000180.1.tRNA4078-iMetCAT	chr23.tRNA4078-iMetCAT
AC_000180.1.tRNA1746-IleAAT	chr23.tRNA1746-IleAAT
AC_000180.1.tRNA4070-LeuAAG	chr23.tRNA4070-LeuAAG
AC_000180.1.tRNA3766-IleAAT	chr23.tRNA3766-IleAAT
AC_000180.1.tRNA3706-AlaTGC	chr23.tRNA3706-AlaTGC
AC_000180.1.tRNA2638-GlnCTG	chr23.tRNA2638-GlnCTG
AC_000180.1.tRNA2700-GluTTC	chr23.tRNA2700-GluTTC
AC_000180.1.tRNA2986-PheGAA	chr23.tRNA2986-PheGAA
AC_000181.1.tRNA63-LysTTT	chr24.tRNA63-LysTTT
AC_000181.1.tRNA176-AlaCGC	chr24.tRNA176-AlaCGC
AC_000181.1.tRNA6161-LysTTT	chr24.tRNA6161-LysTTT
AC_000181.1.tRNA5429-TrpCCA	chr24.tRNA5429-TrpCCA
AC_000182.1.tRNA103-ArgCCG	chr25.tRNA103-ArgCCG
AC_000182.1.tRNA104-ArgCCT	chr25.tRNA104-ArgCCT
AC_000182.1.tRNA5882-LysCTT	chr25.tRNA5882-LysCTT
AC_000182.1.tRNA105-ProTGG	chr25.tRNA105-ProTGG
AC_000182.1.tRNA106-ProAGG	chr25.tRNA106-ProAGG
AC_000182.1.tRNA5881-LysCTT	chr25.tRNA5881-LysCTT
AC_000182.1.tRNA5880-ProAGG	chr25.tRNA5880-ProAGG
AC_000182.1.tRNA108-LysCTT	chr25.tRNA108-LysCTT
AC_000182.1.tRNA5879-LysCTT	chr25.tRNA5879-LysCTT
AC_000182.1.tRNA109-LysCTT	chr25.tRNA109-LysCTT
AC_000182.1.tRNA110-ProCGG	chr25.tRNA110-ProCGG
AC_000182.1.tRNA5878-ArgCCT	chr25.tRNA5878-ArgCCT
AC_000182.1.tRNA111-LysCTT	chr25.tRNA111-LysCTT
AC_000182.1.tRNA112-ProTGG	chr25.tRNA112-ProTGG
AC_000182.1.tRNA113-ProAGG	chr25.tRNA113-ProAGG
AC_000182.1.tRNA114-LysCTT	chr25.tRNA114-LysCTT
AC_000182.1.tRNA115-ProTGG	chr25.tRNA115-ProTGG
AC_000182.1.tRNA116-ProAGG	chr25.tRNA116-ProAGG
AC_000182.1.tRNA117-LysCTT	chr25.tRNA117-LysCTT
AC_000182.1.tRNA118-ProTGG	chr25.tRNA118-ProTGG
AC_000182.1.tRNA119-ProAGG	chr25.tRNA119-ProAGG
AC_000182.1.tRNA120-LysCTT	chr25.tRNA120-LysCTT
AC_000182.1.tRNA121-ProTGG	chr25.tRNA121-ProTGG
AC_000182.1.tRNA122-LysCTT	chr25.tRNA122-LysCTT
AC_000182.1.tRNA123-ProTGG	chr25.tRNA123-ProTGG
AC_000182.1.tRNA124-ProAGG	chr25.tRNA124-ProAGG
AC_000182.1.tRNA125-LysCTT	chr25.tRNA125-LysCTT
AC_000182.1.tRNA126-ProAGG	chr25.tRNA126-ProAGG
AC_000182.1.tRNA127-ArgCCT	chr25.tRNA127-ArgCCT
AC_000182.1.tRNA128-LysCTT	chr25.tRNA128-LysCTT
AC_000182.1.tRNA282-GlyCCC	chr25.tRNA282-GlyCCC
AC_000182.1.tRNA1013-ThrCGT	chr25.tRNA1013-ThrCGT
AC_000182.1.tRNA1360-ArgCCT	chr25.tRNA1360-ArgCCT
AC_000182.1.tRNA4639-LeuTAG	chr25.tRNA4639-LeuTAG
AC_000182.1.tRNA1421-LeuAAG	chr25.tRNA1421-LeuAAG
AC_000182.1.tRNA4617-AspGTC	chr25.tRNA4617-AspGTC
AC_000182.1.tRNA1545-GlyCCC	chr25.tRNA1545-GlyCCC
AC_000182.1.tRNA1936-ArgTCG	chr25.tRNA1936-ArgTCG
AC_000182.1.tRNA1937-ArgTCG	chr25.tRNA1937-ArgTCG
AC_000182.1.tRNA1938-ArgTCG	chr25.tRNA1938-ArgTCG
AC_000182.1.tRNA2115-MetCAT	chr25.tRNA2115-MetCAT
AC_000182.1.tRNA3486-GlnTTG	chr25.tRNA3486-GlnTTG
AC_000182.1.tRNA2617-GluTTC	chr25.tRNA2617-GluTTC
AC_000182.1.tRNA3269-ValCAC	chr25.tRNA3269-ValCAC
AC_000182.1.tRNA3251-TrpCCA	chr25.tRNA3251-TrpCCA
AC_000182.1.tRNA3220-GlyCCC	chr25.tRNA3220-GlyCCC
AC_000182.1.tRNA3169-GlyCCC	chr25.tRNA3169-GlyCCC
AC_000182.1.tRNA2884-GlyTCC	chr25.tRNA2884-GlyTCC
AC_000183.1.tRNA4723-GlnCTG	chr26.tRNA4723-GlnCTG
AC_000183.1.tRNA419-AlaTGC	chr26.tRNA419-AlaTGC
AC_000183.1.tRNA974-ArgCCT	chr26.tRNA974-ArgCCT
AC_000183.1.tRNA3803-AlaAGC	chr26.tRNA3803-AlaAGC
AC_000183.1.tRNA3132-CysGCA	chr26.tRNA3132-CysGCA
AC_000183.1.tRNA3115-GlyCCC	chr26.tRNA3115-GlyCCC
AC_000184.1.tRNA4404-TrpCCA	chr27.tRNA4404-TrpCCA
AC_000184.1.tRNA4233-CysGCA	chr27.tRNA4233-CysGCA
AC_000184.1.tRNA3161-LysCTT	chr27.tRNA3161-LysCTT
AC_000185.1.tRNA258-CysGCA	chr28.tRNA258-CysGCA
AC_000185.1.tRNA3650-ArgCCT	chr28.tRNA3650-ArgCCT
AC_000185.1.tRNA2927-TrpCCA	chr28.tRNA2927-TrpCCA
AC_000185.1.tRNA1157-SerTGA	chr28.tRNA1157-SerTGA
AC_000185.1.tRNA1796-GlyCCC	chr28.tRNA1796-GlyCCC
AC_000186.1.tRNA1320-TrpCCA	chr29.tRNA1320-TrpCCA
AC_000186.1.tRNA1354-GluTTC	chr29.tRNA1354-GluTTC
AC_000186.1.tRNA1794-PheGAA	chr29.tRNA1794-PheGAA
AC_000186.1.tRNA2147-SerGCT	chr29.tRNA2147-SerGCT
AC_000186.1.tRNA2645-AlaAGC	chr29.tRNA2645-AlaAGC
AC_000160.1.tRNA11327-ProCGG	chr3.tRNA11327-ProCGG
AC_000160.1.tRNA11232-AspGTC	chr3.tRNA11232-AspGTC
AC_000160.1.tRNA11062-AsnGTT	chr3.tRNA11062-AsnGTT
AC_000160.1.tRNA11061-AspGTC	chr3.tRNA11061-AspGTC
AC_000160.1.tRNA11060-GlyTCC	chr3.tRNA11060-GlyTCC
AC_000160.1.tRNA327-LeuCAG	chr3.tRNA327-LeuCAG
AC_000160.1.tRNA328-GlyGCC	chr3.tRNA328-GlyGCC
AC_000160.1.tRNA11055-GluCTC	chr3.tRNA11055-GluCTC
AC_000160.1.tRNA11054-GlyTCC	chr3.tRNA11054-GlyTCC
AC_000160.1.tRNA11053-AspGTC	chr3.tRNA11053-AspGTC
AC_000160.1.tRNA329-LeuCAG	chr3.tRNA329-LeuCAG
AC_000160.1.tRNA330-GlyGCC	chr3.tRNA330-GlyGCC
AC_000160.1.tRNA11052-GluCTC	chr3.tRNA11052-GluCTC
AC_000160.1.tRNA11051-GlyTCC	chr3.tRNA11051-GlyTCC
AC_000160.1.tRNA11050-AspGTC	chr3.tRNA11050-AspGTC
AC_000160.1.tRNA11049-GlyGCC	chr3.tRNA11049-GlyGCC
AC_000160.1.tRNA11048-LeuCAG	chr3.tRNA11048-LeuCAG
AC_000160.1.tRNA331-AspGTC	chr3.tRNA331-AspGTC
AC_000160.1.tRNA333-ValCAC	chr3.tRNA333-ValCAC
AC_000160.1.tRNA448-ArgTCT	chr3.tRNA448-ArgTCT
AC_000160.1.tRNA10648-iMetCAT	chr3.tRNA10648-iMetCAT
AC_000160.1.tRNA744-UndetNNN	chr3.tRNA744-UndetNNN
AC_000160.1.tRNA10434-GluTTC	chr3.tRNA10434-GluTTC
AC_000160.1.tRNA10433-AsnGTT	chr3.tRNA10433-AsnGTT
AC_000160.1.tRNA951-HisGTG	chr3.tRNA951-HisGTG
AC_000160.1.tRNA952-GlyCCC	chr3.tRNA952-GlyCCC
AC_000160.1.tRNA953-GluTTC	chr3.tRNA953-GluTTC
AC_000160.1.tRNA10431-GluTTC	chr3.tRNA10431-GluTTC
AC_000160.1.tRNA10430-AsnGTT	chr3.tRNA10430-AsnGTT
AC_000160.1.tRNA954-HisGTG	chr3.tRNA954-HisGTG
AC_000160.1.tRNA955-AsnGTT	chr3.tRNA955-AsnGTT
AC_000160.1.tRNA959-ValTAC	chr3.tRNA959-ValTAC
AC_000160.1.tRNA10425-GlnCTG	chr3.tRNA10425-GlnCTG
AC_000160.1.tRNA962-AsnGTT	chr3.tRNA962-AsnGTT
AC_000160.1.tRNA963-ValCAC	chr3.tRNA963-ValCAC
AC_000160.1.tRNA965-ValAAC	chr3.tRNA965-ValAAC
AC_000160.1.tRNA966-ValTAC	chr3.tRNA966-ValTAC
AC_000160.1.tRNA10421-GlnCTG	chr3.tRNA10421-GlnCTG
AC_000160.1.tRNA967-AsnGTT	chr3.tRNA967-AsnGTT
AC_000160.1.tRNA968-ValCAC	chr3.tRNA968-ValCAC
AC_000160.1.tRNA10420-GlyCCC	chr3.tRNA10420-GlyCCC
AC_000160.1.tRNA971-ValCAC	chr3.tRNA971-ValCAC
AC_000160.1.tRNA10418-ValAAC	chr3.tRNA10418-ValAAC
AC_000160.1.tRNA10417-ValAAC	chr3.tRNA10417-ValAAC
AC_000160.1.tRNA973-GlyCCC	chr3.tRNA973-GlyCCC
AC_000160.1.tRNA10416-GluTTC	chr3.tRNA10416-GluTTC
AC_000160.1.tRNA10415-ValCAC	chr3.tRNA10415-ValCAC
AC_000160.1.tRNA10412-ValCAC	chr3.tRNA10412-ValCAC
AC_000160.1.tRNA977-GlyCCC	chr3.tRNA977-GlyCCC
AC_000160.1.tRNA10410-HisGTG	chr3.tRNA10410-HisGTG
AC_000160.1.tRNA978-AsnGTT	chr3.tRNA978-AsnGTT
AC_000160.1.tRNA983-ValAAC	chr3.tRNA983-ValAAC
AC_000160.1.tRNA10408-AsnGTT	chr3.tRNA10408-AsnGTT
AC_000160.1.tRNA10407-HisGTG	chr3.tRNA10407-HisGTG
AC_000160.1.tRNA10405-AsnGTT	chr3.tRNA10405-AsnGTT
AC_000160.1.tRNA984-ValAAC	chr3.tRNA984-ValAAC
AC_000160.1.tRNA10401-GlnCTG	chr3.tRNA10401-GlnCTG
AC_000160.1.tRNA986-AsnGTT	chr3.tRNA986-AsnGTT
AC_000160.1.tRNA987-ValCAC	chr3.tRNA987-ValCAC
AC_000160.1.tRNA988-GluTTC	chr3.tRNA988-GluTTC
AC_000160.1.tRNA10400-GlyCCC	chr3.tRNA10400-GlyCCC
AC_000160.1.tRNA10399-GlnCTG	chr3.tRNA10399-GlnCTG
AC_000160.1.tRNA989-AsnGTT	chr3.tRNA989-AsnGTT
AC_000160.1.tRNA990-ValCAC	chr3.tRNA990-ValCAC
AC_000160.1.tRNA991-GluTTC	chr3.tRNA991-GluTTC
AC_000160.1.tRNA10397-ValAAC	chr3.tRNA10397-ValAAC
AC_000160.1.tRNA993-GlyCCC	chr3.tRNA993-GlyCCC
AC_000160.1.tRNA10395-GluTTC	chr3.tRNA10395-GluTTC
AC_000160.1.tRNA10394-ValCAC	chr3.tRNA10394-ValCAC
AC_000160.1.tRNA10393-AsnGTT	chr3.tRNA10393-AsnGTT
AC_000160.1.tRNA994-GlnCTG	chr3.tRNA994-GlnCTG
AC_000160.1.tRNA10392-ValTAC	chr3.tRNA10392-ValTAC
AC_000160.1.tRNA996-AsnGTT	chr3.tRNA996-AsnGTT
AC_000160.1.tRNA10391-ValAAC	chr3.tRNA10391-ValAAC
AC_000160.1.tRNA10390-ValTAC	chr3.tRNA10390-ValTAC
AC_000160.1.tRNA997-GluTTC	chr3.tRNA997-GluTTC
AC_000160.1.tRNA10389-GlyCCC	chr3.tRNA10389-GlyCCC
AC_000160.1.tRNA998-AsnGTT	chr3.tRNA998-AsnGTT
AC_000160.1.tRNA10388-ValAAC	chr3.tRNA10388-ValAAC
AC_000160.1.tRNA1000-HisGTG	chr3.tRNA1000-HisGTG
AC_000160.1.tRNA1001-HisGTG	chr3.tRNA1001-HisGTG
AC_000160.1.tRNA1002-ValAAC	chr3.tRNA1002-ValAAC
AC_000160.1.tRNA1003-HisGTG	chr3.tRNA1003-HisGTG
AC_000160.1.tRNA1004-GlyCCC	chr3.tRNA1004-GlyCCC
AC_000160.1.tRNA10386-ValCAC	chr3.tRNA10386-ValCAC
AC_000160.1.tRNA10385-ValCAC	chr3.tRNA10385-ValCAC
AC_000160.1.tRNA10384-ValCAC	chr3.tRNA10384-ValCAC
AC_000160.1.tRNA10383-AsnGTT	chr3.tRNA10383-AsnGTT
AC_000160.1.tRNA1005-GlnCTG	chr3.tRNA1005-GlnCTG
AC_000160.1.tRNA10382-HisGTG	chr3.tRNA10382-HisGTG
AC_000160.1.tRNA1007-AsnGTT	chr3.tRNA1007-AsnGTT
AC_000160.1.tRNA10381-AsnGTT	chr3.tRNA10381-AsnGTT
AC_000160.1.tRNA1008-HisGTG	chr3.tRNA1008-HisGTG
AC_000160.1.tRNA1009-ValCAC	chr3.tRNA1009-ValCAC
AC_000160.1.tRNA1010-ValAAC	chr3.tRNA1010-ValAAC
AC_000160.1.tRNA10380-AsnGTT	chr3.tRNA10380-AsnGTT
AC_000160.1.tRNA10379-HisGTG	chr3.tRNA10379-HisGTG
AC_000160.1.tRNA1011-GlyTCC	chr3.tRNA1011-GlyTCC
AC_000160.1.tRNA1012-HisGTG	chr3.tRNA1012-HisGTG
AC_000160.1.tRNA1013-LysCTT	chr3.tRNA1013-LysCTT
AC_000160.1.tRNA10377-AsnGTT	chr3.tRNA10377-AsnGTT
AC_000160.1.tRNA1014-GluTTC	chr3.tRNA1014-GluTTC
AC_000160.1.tRNA10376-GlyCCC	chr3.tRNA10376-GlyCCC
AC_000160.1.tRNA10375-GlyCCC	chr3.tRNA10375-GlyCCC
AC_000160.1.tRNA1016-GlyCCC	chr3.tRNA1016-GlyCCC
AC_000160.1.tRNA10374-GluTTC	chr3.tRNA10374-GluTTC
AC_000160.1.tRNA10373-AsnGTT	chr3.tRNA10373-AsnGTT
AC_000160.1.tRNA10372-GluTTC	chr3.tRNA10372-GluTTC
AC_000160.1.tRNA10371-ValCAC	chr3.tRNA10371-ValCAC
AC_000160.1.tRNA10370-AsnGTT	chr3.tRNA10370-AsnGTT
AC_000160.1.tRNA1017-GlnCTG	chr3.tRNA1017-GlnCTG
AC_000160.1.tRNA1018-GlnCTG	chr3.tRNA1018-GlnCTG
AC_000160.1.tRNA10369-GluCTC	chr3.tRNA10369-GluCTC
AC_000160.1.tRNA10308-GlnTTG	chr3.tRNA10308-GlnTTG
AC_000160.1.tRNA10305-CysGCA	chr3.tRNA10305-CysGCA
AC_000160.1.tRNA1105-AsnGTT	chr3.tRNA1105-AsnGTT
AC_000160.1.tRNA1107-GlnCTG	chr3.tRNA1107-GlnCTG
AC_000160.1.tRNA10303-AsnGTT	chr3.tRNA10303-AsnGTT
AC_000160.1.tRNA1645-LysTTT	chr3.tRNA1645-LysTTT
AC_000160.1.tRNA9047-ArgTCT	chr3.tRNA9047-ArgTCT
AC_000160.1.tRNA8707-CysGCA	chr3.tRNA8707-CysGCA
AC_000160.1.tRNA2740-TrpCCA	chr3.tRNA2740-TrpCCA
AC_000160.1.tRNA7918-AspGTC	chr3.tRNA7918-AspGTC
AC_000160.1.tRNA7508-AlaAGC	chr3.tRNA7508-AlaAGC
AC_000160.1.tRNA4098-TrpCCA	chr3.tRNA4098-TrpCCA
AC_000160.1.tRNA7196-TrpCCA	chr3.tRNA7196-TrpCCA
AC_000160.1.tRNA6938-ThrAGT	chr3.tRNA6938-ThrAGT
AC_000160.1.tRNA6542-ArgCCT	chr3.tRNA6542-ArgCCT
AC_000160.1.tRNA6487-AlaTGC	chr3.tRNA6487-AlaTGC
AC_000160.1.tRNA5211-AspATC	chr3.tRNA5211-AspATC
AC_000160.1.tRNA5863-ArgCCT	chr3.tRNA5863-ArgCCT
AC_000161.1.tRNA10516-UndetNNN	chr4.tRNA10516-UndetNNN
AC_000161.1.tRNA1376-LysCTT	chr4.tRNA1376-LysCTT
AC_000161.1.tRNA1926-GlyTCC	chr4.tRNA1926-GlyTCC
AC_000161.1.tRNA7930-CysGCA	chr4.tRNA7930-CysGCA
AC_000161.1.tRNA7917-LysCTT	chr4.tRNA7917-LysCTT
AC_000161.1.tRNA7126-LysTTT	chr4.tRNA7126-LysTTT
AC_000161.1.tRNA3921-ProAGG	chr4.tRNA3921-ProAGG
AC_000161.1.tRNA6896-GluTTC	chr4.tRNA6896-GluTTC
AC_000161.1.tRNA6781-SerGGA	chr4.tRNA6781-SerGGA
AC_000161.1.tRNA4296-GlnCTG	chr4.tRNA4296-GlnCTG
AC_000161.1.tRNA4472-ArgCCT	chr4.tRNA4472-ArgCCT
AC_000161.1.tRNA6452-AlaCGC	chr4.tRNA6452-AlaCGC
AC_000161.1.tRNA6252-LysTTT	chr4.tRNA6252-LysTTT
AC_000161.1.tRNA6160-ValAAC	chr4.tRNA6160-ValAAC
AC_000161.1.tRNA5035-CysGCA	chr4.tRNA5035-CysGCA
AC_000161.1.tRNA5037-CysGCA	chr4.tRNA5037-CysGCA
AC_000161.1.tRNA5038-CysGCA	chr4.tRNA5038-CysGCA
AC_000161.1.tRNA5885-CysGCA	chr4.tRNA5885-CysGCA
AC_000161.1.tRNA5884-CysGCA	chr4.tRNA5884-CysGCA
AC_000161.1.tRNA5883-CysGCA	chr4.tRNA5883-CysGCA
AC_000161.1.tRNA5881-CysGCA	chr4.tRNA5881-CysGCA
AC_000161.1.tRNA5879-CysGCA	chr4.tRNA5879-CysGCA
AC_000161.1.tRNA5052-CysGCA	chr4.tRNA5052-CysGCA
AC_000161.1.tRNA5053-CysGCA	chr4.tRNA5053-CysGCA
AC_000161.1.tRNA5054-CysGCA	chr4.tRNA5054-CysGCA
AC_000161.1.tRNA5056-CysGCA	chr4.tRNA5056-CysGCA
AC_000161.1.tRNA5057-CysGCA	chr4.tRNA5057-CysGCA
AC_000161.1.tRNA5865-CysGCA	chr4.tRNA5865-CysGCA
AC_000161.1.tRNA5864-CysGCA	chr4.tRNA5864-CysGCA
AC_000161.1.tRNA5059-CysGCA	chr4.tRNA5059-CysGCA
AC_000161.1.tRNA5856-CysGCA	chr4.tRNA5856-CysGCA
AC_000161.1.tRNA5070-CysGCA	chr4.tRNA5070-CysGCA
AC_000162.1.tRNA749-LysTTT	chr5.tRNA749-LysTTT
AC_000162.1.tRNA1131-ValTAC	chr5.tRNA1131-ValTAC
AC_000162.1.tRNA1269-GlyCCC	chr5.tRNA1269-GlyCCC
AC_000162.1.tRNA10622-GlnCTG	chr5.tRNA10622-GlnCTG
AC_000162.1.tRNA10487-CysGCA	chr5.tRNA10487-CysGCA
AC_000162.1.tRNA9768-SerCGA	chr5.tRNA9768-SerCGA
AC_000162.1.tRNA2749-AspGTC	chr5.tRNA2749-AspGTC
AC_000162.1.tRNA2874-AspGTC	chr5.tRNA2874-AspGTC
AC_000162.1.tRNA3145-GluTTC	chr5.tRNA3145-GluTTC
AC_000162.1.tRNA9227-AlaTGC	chr5.tRNA9227-AlaTGC
AC_000162.1.tRNA8940-ArgCCT	chr5.tRNA8940-ArgCCT
AC_000162.1.tRNA8877-GluTTC	chr5.tRNA8877-GluTTC
AC_000162.1.tRNA8261-LysTTT	chr5.tRNA8261-LysTTT
AC_000162.1.tRNA8176-TrpCCA	chr5.tRNA8176-TrpCCA
AC_000162.1.tRNA4521-ArgCCT	chr5.tRNA4521-ArgCCT
AC_000162.1.tRNA4860-GlnTTG	chr5.tRNA4860-GlnTTG
AC_000162.1.tRNA6618-ArgTCT	chr5.tRNA6618-ArgTCT
