NC_006583.3.tRNA89-AlaTGC	chr1.tRNA89-AlaTGC
NC_006591.3.tRNA4478-CysGCA	chr9.tRNA4478-CysGCA
NC_006591.3.tRNA1088-CysGCA	chr9.tRNA1088-CysGCA
NC_006591.3.tRNA1091-CysGCA	chr9.tRNA1091-CysGCA
NC_006591.3.tRNA1097-AsnGTT	chr9.tRNA1097-AsnGTT
NC_006591.3.tRNA1205-GlnTTG	chr9.tRNA1205-GlnTTG
NC_006591.3.tRNA1622-LysCTT	chr9.tRNA1622-LysCTT
NC_006591.3.tRNA1640-LysCTT	chr9.tRNA1640-LysCTT
NC_006591.3.tRNA1911-GluTTC	chr9.tRNA1911-GluTTC
NC_006591.3.tRNA1933-LysCTT	chr9.tRNA1933-LysCTT
NC_006591.3.tRNA2555-ArgTCT	chr9.tRNA2555-ArgTCT
NC_006621.3.tRNA599-ArgCCT	chrX.tRNA599-ArgCCT
NC_006621.3.tRNA9531-GlnTTG	chrX.tRNA9531-GlnTTG
NC_006621.3.tRNA9460-ValTAC	chrX.tRNA9460-ValTAC
NC_006621.3.tRNA3345-ArgCCT	chrX.tRNA3345-ArgCCT
NC_006621.3.tRNA5756-GluCTC	chrX.tRNA5756-GluCTC
NC_006621.3.tRNA4712-ThrCGT	chrX.tRNA4712-ThrCGT
NW_003726137.1.tRNA37-GlnCTG	chrUn_JH373243.tRNA37-GlnCTG
NW_003726137.1.tRNA36-iMetCAT	chrUn_JH373243.tRNA36-iMetCAT
