NC_005100.4.tRNA20903-LeuTAA	chr1.tRNA20903-LeuTAA
NC_005106.4.tRNA10322-TrpCCA	chr7.tRNA10322-TrpCCA
NC_005106.4.tRNA10321-AspGTC	chr7.tRNA10321-AspGTC
NC_005106.4.tRNA10240-AspGTC	chr7.tRNA10240-AspGTC
NC_005106.4.tRNA8345-MetCAT	chr7.tRNA8345-MetCAT
NC_005106.4.tRNA3468-LysCTT	chr7.tRNA3468-LysCTT
NC_005106.4.tRNA5307-LysTTT	chr7.tRNA5307-LysTTT
NC_005107.4.tRNA951-AlaTGC	chr8.tRNA951-AlaTGC
NC_005107.4.tRNA2457-GlnCTG	chr8.tRNA2457-GlnCTG
NC_005107.4.tRNA8369-AlaAGC	chr8.tRNA8369-AlaAGC
NC_005107.4.tRNA4276-CysGCA	chr8.tRNA4276-CysGCA
NC_005107.4.tRNA4277-CysGCA	chr8.tRNA4277-CysGCA
NC_005107.4.tRNA7066-GluTTC	chr8.tRNA7066-GluTTC
NC_005107.4.tRNA5701-ArgACG	chr8.tRNA5701-ArgACG
NC_005108.4.tRNA225-LysCTT	chr9.tRNA225-LysCTT
NC_005108.4.tRNA1072-GluTTC	chr9.tRNA1072-GluTTC
NW_007906889.1.tRNA5-CysGCA	chrUn_KL568449v1.tRNA5-CysGCA
NW_007906889.1.tRNA4-CysGCA	chrUn_KL568449v1.tRNA4-CysGCA
NW_007906965.1.tRNA7-AspGTC	chrUn_KL568483v1.tRNA7-AspGTC
NW_007906965.1.tRNA4-LeuCAG	chrUn_KL568483v1.tRNA4-LeuCAG
NC_005120.4.tRNA7882-AspGTC	chrX.tRNA7882-AspGTC
NC_005120.4.tRNA174-GlnTTG	chrX.tRNA174-GlnTTG
NC_005120.4.tRNA7860-AspGTC	chrX.tRNA7860-AspGTC
NC_005120.4.tRNA1777-PheGAA	chrX.tRNA1777-PheGAA
NC_005120.4.tRNA2278-ArgCCT	chrX.tRNA2278-ArgCCT
NC_005120.4.tRNA5705-AlaAGC	chrX.tRNA5705-AlaAGC
NC_005120.4.tRNA5302-AlaTGC	chrX.tRNA5302-AlaTGC
